,name,id,type,price,material,description,colors,sizes,imageCount
0,X511 Skinny Denim,6748358213704,Denim,52.0,98% cotton 2% spandex,"The X511 Skinny Denim Is Designed With Our New X Fit Which Is Skinny Throughout With An Extended Inseam For Stacking, And Features A Light Blue Wash And Custom Distressing At The Knees.",Blue,28/29/30/31/32/33/34/36/38/40/42,9
1,Distressed Spider Denim Shorts,6900020052040,Denim,78.0,100% cotton,"The Distressed Spider Denim Shorts Are Designed With A Relaxed Fit Throughout, Featuring A Vintage Wash And Whiskering Throughout, Distressing Details At The Thigh And Knees, Spider Studding Details At The Hip, And Is Finished Off With Raw Hem.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
2,Mojave Denim Shorts,6748357525576,Denim,78.0,100% cotton,"The Mojave Denim Shorts Are Designed With A Relaxed Fit Throughout, Featuring Traditional Five Pocket Denim Details, Raw Hem At The Leg Opening, And Finished With Stud And Jewel Details Along The Outseam.",Vintage Blue,28/29/30/31/32/33/34/36/38/40/42,7
3,Baggy Ripped Denim Shorts,6907634909256,Denim,58.0,100% cotton,"The Baggy Ripped Denim Shorts Are Designed With A Relaxed Fit Throughout, Featuring Traditional Five Pocket Denim Details, Raw Hem At The Leg Opening, And Finished With A Vintage Wash And Distressing Details Throughout.",Vintage Blue,28/29/30/31/32/33/34/36/38/40/42,7
4,B484 Flare Denim,6629513592904,Denim,68.0,100% cotton,"The B484 Flare Denim Are Designed With Our New B Fit, Which Is Slim Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From Medium Washed Blue Denim, Panelling At The Inseam And Outseam From Denim Denim For A Slight Flare, Distressing Details At The Back Of The Leg Openings, And Finished With A Deconstructed Hem.",Blue,28/29/30/31/32/33/34/36/38/40/42,9
5,B118 Work Flare Denim,5863143538760,Denim,56.0,100% cotton,"The B118 Flare Work Denim Are Designed With Our New B Fit, Which Is Slim Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From Washed Black Denim, Work Pants Panelling Removed After Wash For Contrasting Wash Area, Panelling At The Inseam And Outseam For A Slight Flare And Finished With A Deconstructed Hem.",Black,28/29/30/31/32/33/34/36/38/40/42,9
6,X1 Skinny Denim,1672743157832,Denim,52.0,98% cotton 2% spandex,"The X1 Skinny Denim Is Designed With Our New X Fit Which Is Skinny Throughout With An Extended Inseam For Stacking, And Features A Vintage Black Wash And Custom Distressing At The Knees.",Black,28/29/30/31/32/33/34/36/38/40/42,9
7,Snap Baggy Flare Denim,6789015535688,Denim,38.0,84% cotton 16% polyester,"The Snap Baggy Flare Denim Are Designed With A New Baggy Flare Fit, Constructed From Black Denim With A Rinse Wash, Featuring Snap Closures At The Outseam, Extended Inseam For Stacking, And Finished With A Button Placket.",Black,28/29/30/31/32/33/34/36/38/40/42,8
8,X502 Skinny Denim,6734818803784,Denim,56.0,98% cotton 2% spandex,"The X502 Skinny Denim Is Designed With Our New X Fit Which Is Skinny Throughout With An Extended Inseam For Stacking, And Features A Vintage Blue Wash And Custom Distressing At The Knees.",Blue,28/29/30/31/32/33/34/36/38/40/42,9
9,B424 Patch Flare Denim,6589532438600,Denim,38.0,100% cotton,"The B424 Patch Flare Denim Are Designed With Our New B Fit, Which Is Slim Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From Vintage Washed Blue Denim, Patchwork Panelling At The Leg Opening From Contrasting Blue Denim For A Slight Flare And Finished Offset Flare Detail At The Hem.",Blue,28/29/30/31/32/33/34/36/38/40/42,10
