,name,id,type,price,material,description,colors,sizes,details
0,Re-Nylon jacket,SGC828_16HH_F0002_S_OOO,Outerwear,2600,100% recycled polyamide,"This contemporary and refined Re-Nylon jacket is characterized by its minimalist lines and functional details. The emblematic enameled metal triangle logo completes the style with a distinctive note. For sustainable product care and to preserve its characteristics and reduce the dispersion of microfibers, avoid frequent washing, air out the garment after each use, and have it dry cleaned by a specialized, ecological dry cleaner.",Black,S/S/M/L/XL/XXL/XXXL,Regular fit|Shirt-style collar|Straight sleeve|Button closure|Inseam pockets|Drop shoulder|Straight hem|Unlined|Enameled metal triangle logo
1,Re-Nylon jacket,SGC833_1WQ9_F0002_S_OOO,Outerwear,2050,100% recycled polyamide,"Pragmatic details and sleek lines define this Re-Nylon jacket, featuring a light silhouette with roomy utility-style pockets. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.","Black, Cinnamon",44/44/46/48/50/52/54/56/58/60,Regular fit|Stand-up collar|Straight sleeves|Snap closure|Flap pockets|Cuff with strap and snap|Regular shoulder|Straight hem|Unlined|Enameled metal triangle logo
2,Re-Nylon jacket,SGC833_1WQ9_F0401_S_OOO,Outerwear,2050,100% recycled polyamide,"Pragmatic details and sleek lines define this Re-Nylon jacket, featuring a light silhouette with roomy utility-style pockets. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.","Black, Cinnamon",46/46/48/50/52/54/56/58,Regular fit|Stand-up collar|Straight sleeves|Snap closure|Flap pockets|Cuff with strap and snap|Regular shoulder|Straight hem|Unlined|Enameled metal triangle logo|The fabric is made with regenerated yarn obtained from recycled plastic materials collected in the ocean
3,Cotton jacket,SGC830_11BZ_F0002_S_OOO,Outerwear,3250,100% cotton,"The utility-inspired jacket is reinterpreted with rigorous lines and a minimalist style. The emblematic enameled metal triangle logo enhances the silhouette with a shirt-style collar, defined by large functional pockets.",Black,S/S/M/L/XL,Loose fit|Shirt-style collar|Straight sleeves|Button closure|Flapped patch pockets|Straight cuffs|Broad shoulders|Straight hem|Unlined|Enameled metal triangle logo on the front
4,Re-Nylon jacket,SGC823_1WQ8_F0002_S_OOO,Outerwear,2350,100% recycled polyamide,"Made of Re-Nylon, an evolution of the emblematic material of Prada collections, this jacket has a design with oversized lines finished with knit details and decorated with the triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/54/58,Regular fit|Ribbed knit collar|Raglan sleeve|Snap closure|Welt pockets|Ribbed knit cuffs|Regular shoulder|Straight ribbed knit hem|Lined|Knit details|Enameled metal triangle logo on the front|The fabric is made with regenerated yarn obtained from recycled plastic materials collected in the ocean.
5,Wool blouson,SGC816_13L5_F0002_S_OOO,Outerwear,3450,36% polyamide 64% virgin wool,"The minimalist design of this jacket reveals a modern and functional spirit, suggested by the light and versatile silhouette decorated with the emblematic tonal triangle logo. ",Black,44/44/46/48/50/52/54/56,Straight fit|Shirt-style collar|Straight sleeves|Snap closure|Welt pockets|Straight cuffs|Drop shoulder|Straight hem|Elasticized drawstring|Lined|Fabric travel pouch|Fabric triangle logo the back
6,Cotton blouson jacket,SGC794_16IF_F060M_S_OOO,Outerwear,4300,100% cotton,"The balance between contrasting styles defines this blouson jacket made of cotton with a vintage finish. The silhouette, characterized by utility elements and dynamic details, suggests new ways of wearing clothes that are increasingly unique, authentic and personal. ",Tamarind Pink,48/48/50/52,Extra-slim fit|Hooded collar|Straight sleeves|Button closure|Welt pockets|Buttoned cuff|Regular shoulder|Straight hem|Cotton drawstring|Lined garment|Perforated triangle logo on the back|This garment has undergone an artisan process after assembly to give it a deliberate vintage look.
7,Cotton safari jacket,SGC779_16IF_F0136_S_OOO,Outerwear,4800,100% cotton,"This cotton safari jacket embodies the many facets of the Prada aesthetic with a design that combines refined notes, utility details, and sophisticated functionality. ",Turquoise,48/48/50/52/54,Regular fit|Hooded collar|Straight sleeves|Button closure|Patch pockets with button|Buttoned cuff|Regular shoulder|Straight hem|Unlined|Cut-out triangle logo on the back|This garment has undergone an artisan process after assembly to give it a deliberate vintage look.
8,Cropped cotton blouson jacket,SGC841_16E2_F0002_S_OOO,Outerwear,4300,100% cotton,"New proportions and unexpected details shape the silhouette of this blouson jacket in cotton with a vintage effect. The style, defined by its cropped cut, features shapeable edges that give movement and uniqueness to the design.",Black,46/46/48/54/56,Extra-slim fit|Hooded collar|Straight sleeves|Zipper and snap closure|Welt pockets with snap|Buttoned cuff|Regular shoulder|Straight hem|Unlined|Cut-out triangle logo on the back|This garment has undergone an artisan process after assembly to give it a deliberate vintage look.
9,Nylon blouson jacket,SGC804_16NJ_F0030_S_OOO,Outerwear,1920,100% polyamide,"This blouson jacket with an original design suggests new shapes and ways to wear clothes, making them even more unique, authentic and personal. The silhouette with a wrinkled effect is characterized by shapeable collar, cuffs and hem, an unexpected detail that gives movement to the style, blurring boundaries between reality and illusion. ",Violet,46/46/54,Regular fit|Shirt-style collar|Straight sleeve|Button closure|Welt pockets|Straight cuff|Regular shoulder|Straight hem|Unlined|Fabric triangle logo on the back
10,Medium-weight Re-Nylon down jacket,SGC842_16BF_F0002_S_OOO,Outerwear,3600,100% recycled polyamide,"Prada reimagines the classic down jacket silhouette, amplifying its volume and proportions while maintaining a sense of refinement. This down jacket, crafted from Re-Nylon, is accented with the iconic triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,XS/XS/S/M/L/XL/XXL,Oversized fit|Shearling collar|Straight sleeves|Zipper fastening|Flap pockets with buttons|Knitted cuffs|Regular shoulders|Knitted hem|Lined and padded with goose down|Enameled metal triangle logo on the front
11,Cotton blouson jacket with shearling collar,SGC760_157N_F0002_S_OOO,Outerwear,5500,100% cotton,"Utility style inspires the design of this cotton blouson jacket featuring artisan techniques that create an aged effect with vintage allure. The versatile style is enriched with a removable shearling collar that adds an original and refined touch. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XL,Regular fit|Shirt-style collar|Straight sleeves|Zipper closure|Flap pocket|Ribbed knit cuffs|Regular shoulder|Ribbed knit hem|Lined and quilted|Removable shearling collar|Leather triangle logo on the back|Garment dyed|The finished garment has undergone a hand-applied artisan treatment to give it a deliberate vintage look.
12,Cotton jacket with shearling collar,SGC766_157N_F0027_S_OOO,Outerwear,5700,100% cotton,"This workwear-inspired jacket is reinterpreted with new sophisticated details like the removable shearling collar that gives the functional and versatile garment an original, stylish look. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Brown,S/S/M/L/XL,Regular fit|Shearling collar|Straight sleeves|Button closure|Flap pockets|Straight cuff|Regular shoulder|Straight hem|Lined and quilted|Leather triangle logo on the back|Garment dyed
13,Wool-blend jacket,SGC754_156U_F0002_S_OOO,Outerwear,3700,60% mohair 40% wool,"A harmonious blend of tradition and modernity, this wool-blend jacket presents a refined silhouette, elevated by the retro elegance of the bowling collar and the understated sophistication of its minimalistic details.",Black,44/44/46/48/50/52/54/56,Regular fit|Bowling collar|Straight sleeves|Button closure|Welt pockets|Buttoned cuffs|Regular shoulder|Straight hem|Partially lined|Fabric triangle logo on the back
14,Wool blouson,SGC769_15UZ_F0002_S_OOO,Outerwear,8500,100% cashmere,"This wool blouson features a sophisticated and modern shape with practical elements such as the detachable padding, showcasing the versatility of the design.",Black,46/46/48/50/52/54/56,Regular fit|Shirt collar|Straight sleeves|Button closure|Patch pockets with flap and button|Button-fastened cuffs|Wide shoulders|Straight hem|Unlined|Double-weave fabric|With removable padding|Fabric triangle logo on the back
15,Silk jacket,SGC781_B03_F0192_S_OOO,Outerwear,4300,100% silk,"Refinement and functionality are the hallmarks of this silk jacket, which seamlessly blends elegance and modernity. The sleek details create a hybrid silhouette, exuding a sophisticated sporty allure.",Ebony,XL/XL,Regular fit|With hood|Straight sleeves|Zip closure|Welt pockets|Buttoned cuff|Regular shoulders|Straight hem|Elasticated drawstring|Unlined|Fabric triangle logo on the front
16,Cotton blouson,SGC767_1XV2_F0SVF_S_OOO,Outerwear,2950,100% cotton,This cotton blouson features a straight silhouette with clean lines and minimalistic details. The triangle logo on the back adds a distinctive touch to this versatile garment.,Blue,S/S/M/L/XXL,Regular fit|Shirt collar|Straight sleeve|Zipper closure|Welt pockets|Elasticated wrists|Dropped shoulders|Straight hem|Elasticated drawstring|Lined|Fabric triangle logo on the back
17,Re-Nylon hooded blouson jacket,SGB685_1WQ8_F0002_S_211,Outerwear,2750,100% recycled polyamide,"This hooded blouson jacket with a regular fit and straight sleeves has an elasticized drawstring hem that recalls the sportswear world. The design is made of Prada's emblematic and innovative Re-Nylon fabric produced from recycled plastic materials collected in the ocean that can be endlessly regenerated. The distinctive sartorial label of Prada collections Prada accents the garment. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,48/48/50/52/54,Loose fit|Collar with hood|Straight sleeves|Zipper closure|Welt pockets|Cuff with button|Regular shoulder|Straight hem|Elasticized drawstring|Unlined|Enameled metal triangle logo
18,Re-Nylon blouson jacket,SGB684_1WQ8_F0002_S_211,Outerwear,2550,100% recycled polyamide,"This blouson jacket with a regular fit, shirt collar and straight sleeves has an elasticized drawstring hem that recalls the sportwear world. The design is made of Prada's emblematic and innovative Re-Nylon fabric produced from recycled plastic materials collected in the ocean that can be endlessly regenerated. The distinctive sartorial label of Prada collections Prada accents the garment. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/54/56/58/60,Regular fit|Shirt collar|Straight sleeves|Zipper closure|Welt pockets|Cuff with button closure|Regular shoulder|Straight hem|Elasticized drawstring|Unlined|Enameled metal triangle logo
19,Cropped Re-Nylon down jacket,SGC400_1WQ8_F0002_S_232,Outerwear,7000,100% recycled polyamide,"This cropped down jacket combines refined, contemporary allure with the practicality of Re-Nylon, the innovative regenerated nylon fabric that is an emblem of the brand. The sleek, sporty silhouette is emphasized by the goose down padding that makes the design with pragmatic details even more comfortable. The enameled metal triangle logo completes the look with its iconic signature touch. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,XS/XS/S/M/L/XL/XXL,Straight fit|Hooded collar|Straight sleeve|Zipper closure|Welt zipper pockets|Elasticized cuff|Regular shoulder|Straight hem|Elasticized drawstring|Shearling lining and goose down padding|Enameled metal triangle logo on the front|The fabric is made with regenerated yarn obtained from recycled plastic materials collected in the ocean.
20,Padded Re-Nylon vest,SGB033_1WQ9_F0002_S_191,Outerwear,2200,100% recycled polyamide,"Sleek lines characterize the padded silhouette of this vest made of Re-Nylon, an innovative fabric produced from recycled, purified plastic collected in the ocean. The garment is decorated with the enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/56/58,Regular fit|Stand up collar|Zipper closure|Welt pockets with zipper|Elasticized drawstring|Regular shoulder|Rounded hem at the back|Lined in recycled material with goose down padding
21,Re-Nylon down jacket,SGB803_1WQ8_F0002_S_202,Outerwear,3750,100% recycled polyamide,"The iconic triangle logo reinterpreted in an all-over quilted motif takes on a structural role in this down jacket made of Re-Nylon, a regenerated fabric produced from recycled plastic collected in the ocean. The printed lettering logo is framed by one of the stitched geometric triangles. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,S/S/L/XL/XXL,Loose fit|Stand-up collar and concealed hood|Straight sleeve|Zipper closure|Welt zipper pockets|Elasticized cuff with buttons|Drop shoulder|Straight hem|Elasticized drawstring|Lined and with goose down padding|Prada logo print
22,Re-Nylon down vest,SGB804_1WQ8_F0002_S_202,Outerwear,3050,100% recycled polyamide,"Reinterpreted in an all-over quilted pattern, the iconic triangle logo takes on a structural role in this down vest made of Re-Nylon, a regenerated fabric produced from recycled plastic collected in the ocean. The printed lettering logo is framed by one of the stitched geometric triangles, creating a three-dimensional textured effect on the garment. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XL/XXL/XXXL,Regular fit|Hooded collar|Zipper closure|Welt zipper pockets|Regular shoulder|Straight hem|Elasticized drawstring|Lined and with goose down padding|Prada logo print
23,Hooded Re-Nylon down jacket,SGC398_1WQ8_F0002_S_232,Outerwear,3400,100% recycled polyamide,"A sleek silhouette defines this down jacket with a slightly oversized fit and goose down padding. Made of Re-Nylon, the innovative evolution of the iconic Prada fabric, the garment is characterized by minimalist details such as the enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/XL/XXL,Loose fit|Stand-up collar with hood|Straight sleeve|Zipper closure|Welt zipper pockets|Straight cuff|Drop shoulder|Straight hem|Elasticized drawstring|Reversible and padded with goose down|Detachable hood|Enameled metal triangle logo on the front
24,Re-Nylon puffer jacket,SGN955_1WQ9_F0002_S_191,Outerwear,2600,100% recycled polyamide,"Re-Nylon introduces a sustainable line of Prada products fabricated of regenerated ECONYL®, a nylon made through recycling and purifying plastic collected from oceans, fishing nets, and textile fiber waste. A technical design and sportswear elements characterize this regenerated nylon puffer jacket enhanced with sophisticated details like the metal triangle logo. Padded with soft goose down, the garment has front pockets and a hood with drawstring. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/54/56/58,Stand-up collar|Detachable hood with elasticized rubber drawstring|Visible nylon zipper at the center with zipper pull|Welt breast pocket with enameled metal triangle logo|Angled welt pockets with zipper|Lined|Elasticized cuffs|Elasticized drawstring on the hem with metal stopper|Enamel triangle logo|Rounded hem
25,Re-Nylon blouson jacket,SGC533_1WQ9_F0009_S_OOO,Outerwear,2750,100% recycled polyamide,"This modern and versatile blouson jacket is made of Re-Nylon, the regenerated nylon fabric obtained from recycled plastic materials collected in the ocean, an emblem of Prada's commitment to sustainable practices. The oversized, hooded style is characterized by sporty details with a pragmatic character like the elasticized drawstring and practical zipper closure. The iconic enameled metal triangle logo completes the contemporary design with a distinctive touch. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",White,S/S/M/L/XL/XXL/XXXL,Oversize fit|Hooded collar|Straight sleeve|Zipper closure|Kangaroo pocket|Straight cuff|Wide shoulder|Straight hem|Elasticized drawstring|Lined|Enameled metal triangle logo on the front
26,Re-Nylon jacket,SGC535_1WQ9_F0161_S_OOO,Outerwear,2250,100% recycled polyamide,"This contemporary and pragmatic jacket is made of Re-Nylon, the innovative regenerated nylon yarn obtained from recycled plastic materials collected in the ocean. The garment with a minimalist silhouette and shirt-style collar is decorated with the iconic enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Military Green,XS/XS/S/L/XL/XXL,Oversized fit|Shirt-style collar|Straight sleeve|Button closure|Welt pockets|Wide shoulder|Straight hem|Elasticized drawstring|Lined and padded|Enameled metal triangle logo on the front
27,Quilted Re-Nylon jacket,SGC606_1WQ9_F0ABB_S_OOO,Outerwear,5100,100% recycled polyamide,"This quilted jacket with contrasting collar stands out for its pragmatic allure, emphasized by the innovative character of Re-Nylon. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Blue,XS/XS/S/M/L/XL/XXL/XXXL,Regular fit|Shirt-style collar|Straight sleeve|Snap closure|Patch pockets|Straight cuff|Wide shoulder|Straight hem|Unlined|With removable inner vest|Enameled metal triangle logo on the front|The fabric is made with regenerated yarn obtained from recycled plastic materials collected in the ocean
28,Re-Nylon blouson jacket,SGB808_1WQ8_F0002_S_211,Outerwear,3450,100% recycled polyamide,"This jacket is made of Re-Nylon: a regenerated nylon yarn (ECONYL®) produced from recycled and purified plastic trash collected in the ocean, fishing nets and textile fiber waste. The garment is characterized by a pocket with woven nylon tape on the left sleeve that is reminiscent of iconic Prada bags. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XXL/XXXL,Regular fit|Hooded Collar|Straight Sleeve|Zipper closure|Welt pockets with zipper|Elasticized cuffs|Wide shoulder|Rounded back hem|Elasticized drawstring|Lined with padded recycled fabric
29,Short polyester down jacket,SGC564_13IL_F0002_S_OOO,Outerwear,3500,100% polyester,"This down jacket with a functional design is characterized by its short silhouette and stand-up collar. The garment, enhanced with warm goose down padding, combines sporty details and practical elements with casual style.  The enameled metal triangle logo completes the simple jacket with its iconic signature touch. ",Black,44/44/46/48/50/52/54/56/58,Regular fit|Stand-up collar|Straight sleeve|Zipper closure|Welt zipper pockets|Elasticized cuff|Regular shoulder|Straight hem|Lined and padded with goose down|Can be packed in a belt bag|Enameled metal triangle logo on the front
30,Cropped Re-Nylon down jacket,SGC699_1WQ9_F0422_S_OOO,Outerwear,3050,100% recycled polyamide,"This cropped down jacket with a soft, enveloping silhouette combines the functionality of Re-Nylon with contemporary, sporty details. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Bottle Green,XS/XS/S/M/L/XL/XXL/XXXL,Oversized fit|Stand-up collar|Raglan sleeves|Zipper and snap closure|Welt pockets with snap|Ribbed knit cuff|Wide shoulder|Rounded back hem|Elastic drawstring|Lined in recycled fabric and padded with goose down|Detachable hood|Enameled metal triangle logo on the front
31,Light Re-Nylon shirt,SC554M_1WQ9_F0422_S_221,Outerwear,2050,100% recycled polyamide,"Sporty and functional details define the silhouette of this shirt made of Re-Nylon, a regenerated yarn obtained from recycled plastic material collected in the ocean. The lightweight boxy design is embellished with the enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.","Bottle Green, Aviator Blue",XS/XS/S/M/L/XL/XXL/XXXL,Oversized fit|Classic collar|Classic breast pocket|Straight hem|Cuff with snap|Snap closure|Lined and padded garment|Enameled metal triangle logo on the front
32,Cropped Re-Nylon down jacket,SGC584_1WQ8_F0002_S_OOO,Outerwear,3050,100% recycled polyamide,"This down jacket with enveloping volumes and a sporty, functional design is made of Re-Nylon. The innovative fabric made of regenerated nylon enhances the contemporary and pragmatic character of the style, completed with warm goose down padding and enriched by the distinctive signature touch of the enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,XS/XS/S/L/XL/XXL/XXXL,Oversized fit|Stand-up collar|Straight sleeve|Zipper closure|Pouch pockets|Straight cuff|Wide shoulder|Straight hem|Elasticized drawstring|Recycled fabric lining and goose down padding|Enameled metal triangle logo on the front
33,Technical fabric down jacket with hood,SGC689_1X02_F0002_S_OOO,Outerwear,3800,100% recycled polyester,"This sporty and contemporary down jacket is made of technical fabric and characterized by its oversized, enveloping silhouette with hood. The garment completed with warm goose down padding combines functional elements and technical details with a minimalist design, an expression of an innovative and refined style. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,S/S/M/L/XL/XXL/XXXL,Oversized fit|Hooded collar|Straight sleeves|Zipper and snap closure|Welt zipper pockets|Elasticized cuff with strap and snap|Drop shoulder|Rounded back hem|Elastic drawstring|Lined and padded with goose down|Heat-sealed seams
34,Stretch technical fabric jacket,SGC608_15OP_F0002_S_OOO,Outerwear,3700,1% elastane 59% polyamide 21% acrylic 19% virgin wool,"This technical fabric jacket with a sleek design and functional details is characterized by the stand-up collar with hood and zipper closure. The iconic enameled metal triangle logo embellishes the sporty and versatile style. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,46/46/48/50/52/54/56/58,Regular fit|Stand-up collar with detachable hood|Straight sleeve|Zipper closure|Hidden pockets on the sides|Straight cuff with zipper opening|Regular shoulder|Straight hem|Elasticized drawstring|Lined in recycled fabric and padded|Enameled metal triangle logo on the front
35,Re-Nylon jacket,SGC603_1WQ9_F0D9M_S_OOO,Outerwear,2750,100% recycled polyamide,"Clean lines and sleek details define this oversized Re-Nylon jacket with hood. The reversible design is decorated with the enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black/Blue,XS/XS/S/M/L/XL/XXL/XXXL,Oversized fit|Stand-up collar with hood|Straight sleeve|Zipper closure|Pockets with hidden zipper|Elasticized cuff|Wide shoulder|Elasticized hem|Elasticized drawstring|Reversible|Enameled metal triangle logo on the front
36,Re-Nylon jacket,SGC220_1WQ9_F0002_S_231,Outerwear,2300,100% recycled polyamide,"Sporty inspiration characterizes this hooded zipper jacket made of Re-Nylon, a regenerated fabric produced from recycled and purified plastic materials collected in the ocean. Prada's iconic enameled metal triangle logo decorates the front. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/54/56/58/60,Regular fit|Hooded collar|Straight sleeve|Zipper closure|Pouch pockets|Cuff with hook-and-loop strap|Regular shoulder|Straight hem|Elasticized drawstring|Partially lining with recycled fabric
37,Technical fabric blouson jacket,SGB041_1X01_F0002_S_191,Outerwear,3400,100% recycled polyester,"Modernist elegance and fine menswear tailoring: this technical fabric blouson jacket blends minimalism and artisan crafting and stands out for its sophisticated, functional details. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.","Black, Navy",44/44/46/48/50/52/56/58/60,Regular fit|Stand-up collar with concealed hood|Straight sleeves|Zipper and button closure|Vertical welt pockets with hidden zipper|Straight cuff|Drop shoulder|Straight hem|Elasticized drawstring|Unlined|Heat-bonded seams|Removable padded lining|Latex rubber triangle|This garment has a removable padded lining that can also be worn separately as a jacket.
38,Technical fabric raincoat,SGB042_1X01_F0124_S_191,Outerwear,4100,100% recycled polyester,"This raincoat with high-tech charm has a padded lining that can be worn separately as a coat. This garment decorated with a rubber triangle features a stand-up collar with hood and a sleek design with straight sleeves and hem. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Navy,48/48,Regular fit|Stand up collar with hidden hood|Straight sleeve|Zipper and button closure|Welt pockets with zipper|Straight cuff|Regular shoulder|Straight hem|Unlined|Heat-bonded seams|Rubber triangle
39,Medium-length Re-Nylon down jacket,SGC045_1WQ8_F0002_S_222,Outerwear,3950,100% recycled polyamide,"Prada's iconic triangle logo is reimagined in the quilted pattern decorating this Re-Nylon jacket with stand-up collar. The garment, with modern allure and a streetwear mood, is decorated with the enameled metal triangle logo on the front. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XL/XXL,Loose fit|Stand-up collar|Straight sleeve|Zipper closure|Welt pockets with zipper|Elasticized cuffs|Drop shoulder|Straight hem|Reversible with goose down padding|Front enameled metal triangle logo.
40,Long Re-Nylon down jacket,SGC112_1WQ8_F0002_S_222,Outerwear,7700,Nylon,"This long jacket with goose down padding is made of Re-Nylon, the innovative regenerated nylon fabric produced from plastic materials collected in the ocean. The design is characterized by the oversized line and removable hood. The garment is decorated with the iconic enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,48/48/50/52/54,Regular fit|Stand up collar with removable hood|Straight sleeve|Zipper closure|Elasticized cuff with snaps|Regular shoulder|Straight hem|Elasticized drawstring|Fur lined and padded with goose down|Enameled metal triangle logo on the front
41,Re-Nylon bomber jacket,SGB903_1WQ8_F0002_S_222,Outerwear,3450,100% recycled polyamide,"This bomber jacket is defined by its slightly oversized line and draped details on the sleeves that give the garment unique volume. Made of Re-Nylon, a fabric of industrial inspiration emblematic of the brand and obtained from recycled plastic materials collected in the ocean, the garment features a three-dimensional pouch on the sleeve in the shape of Prada's iconic triangle. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XL,Oversized fit|Shirt collar|Straight sleeve|Zipper closure|Flap pockets|Ribbed knit cuff|Drop shoulder|Straight ribbed knit hem|Lined and padded|Enameled metal triangle logo on the front|With pouch pocket
